dsc_fonte;municipio_origem;cod_ibge_origem;uf_origem;municipio_destino;cod_ibge_destino;uf_destino;ano;mes;distancia_km;valor_frete_tonelada;valor_tonelada_km
PESQUISA                        ;AÇAILÂNDIA-MA                                     ;2100055                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;2;597;160,0;0,268
PESQUISA                        ;AÇAILÂNDIA-MA                                     ;2100055                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;3;597;170,0;0,2848
PESQUISA                        ;AÇAILÂNDIA-MA                                     ;2100055                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;4;597;170,0;0,2848
PESQUISA                        ;AÇAILÂNDIA-MA                                     ;2100055                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;5;597;160,0;0,268
PESQUISA                        ;AÇAILÂNDIA-MA                                     ;2100055                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;6;597;150,59;0,2522
PESQUISA                        ;AÇAILÂNDIA-MA                                     ;2100055                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;7;565;166,8;0,2952
PESQUISA                        ;AÇAILÂNDIA-MA                                     ;2100055                       ;MA        ;PORTO FRANCO-MA                                   ;2109007                       ;MA        ;2023;7;167;65,0;0,3892
PESQUISA                        ;AÇAILÂNDIA-MA                                     ;2100055                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;8;565;164,5;0,2912
PESQUISA                        ;AÇAILÂNDIA-MA                                     ;2100055                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;9;565;160,0;0,2832
CONTRATO                        ;ACREÚNA-GO                                        ;5200134                       ;GO        ;SANTA HELENA DE GOIÁS-GO                          ;5219308                       ;GO        ;2014;5;66;23,63;0,358
CONTRATO                        ;ACREÚNA-GO                                        ;5200134                       ;GO        ;ITAPURANGA-GO                                     ;5211206                       ;GO        ;2014;5;314;57,32;0,1825
CONTRATO                        ;ACREÚNA-GO                                        ;5200134                       ;GO        ;BRASÍLIA-DF                                       ;5300108                       ;DF        ;2014;5;403;57,87;0,1436
CONTRATO                        ;ACREÚNA-GO                                        ;5200134                       ;GO        ;PALMEIRAS DE GOIÁS-GO                             ;5215702                       ;GO        ;2014;5;117;29,26;0,2501
PESQUISA                        ;ALPINÓPOLIS-MG                                    ;3101904                       ;MG        ;GUARUJÁ-SP                                        ;3518701                       ;SP        ;2024;9;463;146,0;0,3153
PESQUISA                        ;ALPINÓPOLIS-MG                                    ;3101904                       ;MG        ;GUARUJÁ-SP                                        ;3518701                       ;SP        ;2024;10;463;146,0;0,3153
PESQUISA                        ;ALPINÓPOLIS-MG                                    ;3101904                       ;MG        ;GUARUJÁ-SP                                        ;3518701                       ;SP        ;2024;11;463;146,0;0,3153
PESQUISA                        ;ALTO PARNAÍBA-MA                                  ;2100501                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;3;1034;290,0;0,2805
PESQUISA                        ;ALTO PARNAÍBA-MA                                  ;2100501                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;4;1034;290,0;0,2805
PESQUISA                        ;ALTO PARNAÍBA-MA                                  ;2100501                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;5;1034;82,0;0,0793
PESQUISA                        ;ALTO PARNAÍBA-MA                                  ;2100501                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;6;1034;275,09;0,266
PESQUISA                        ;ALTO PARNAÍBA-MA                                  ;2100501                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;7;1050;275,0;0,2619
PESQUISA                        ;ALTO PARNAÍBA-MA                                  ;2100501                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;8;1050;316,61;0,3015
PESQUISA                        ;ALTO PARNAÍBA-MA                                  ;2100501                       ;MA        ;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;2023;9;1050;325,12;0,3096
